Symbol,Date,Open,High,Low,Close,Volume
M,2007-12-19,27.35,27.97,26.4,26.7,5536700.0
M,2007-12-18,27.97,28.0,27.0,27.76,3692300.0
M,2007-12-17,27.6,28.19,27.2,27.52,5028000.0
M,2007-12-14,28.65,28.65,27.62,27.77,4369400.0
M,2007-12-13,28.42,29.08,27.86,28.63,4199900.0
M,2007-12-12,30.16,30.4,28.43,28.74,6789700.0
M,2007-12-11,30.4,31.29,28.97,29.09,7283400.0
M,2007-12-10,30.72,30.72,29.95,30.4,3047500.0
M,2007-12-07,30.0,30.76,29.63,30.51,5677800.0
M,2007-12-06,31.0,31.0,29.58,29.81,9222100.0
M,2007-12-05,31.09,31.55,30.4,31.21,7635800.0
M,2007-12-04,29.56,30.79,29.29,30.59,5839700.0
M,2007-12-03,29.69,30.6,29.32,29.74,4992600.0
M,2007-11-30,29.94,30.62,29.51,29.65,7413400.0
M,2007-11-29,29.62,29.91,28.99,29.3,5508400.0
M,2007-11-28,28.75,30.45,28.75,29.81,8942700.0
M,2007-11-27,28.36,29.36,27.82,28.52,6826200.0
M,2007-11-26,30.29,30.42,28.18,28.21,8731600.0
M,2007-11-23,29.34,30.18,28.64,30.03,4112500.0
M,2007-11-21,27.92,29.16,27.66,28.5,5065300.0
M,2007-11-20,27.59,29.21,27.3,28.45,9505500.0
M,2007-11-19,28.33,28.33,27.18,27.3,6274300.0
M,2007-11-16,28.7,28.7,27.5,28.32,6280200.0
M,2007-11-15,28.15,29.09,28.0,28.55,5593200.0
M,2007-11-14,31.54,31.6,28.19,28.47,1.16336E7
M,2007-11-13,29.38,31.15,29.38,30.65,8757400.0
M,2007-11-12,28.74,29.94,28.45,28.75,8082300.0
M,2007-11-09,29.28,29.3,28.3,28.49,6348500.0
M,2007-11-08,30.5,30.54,28.27,29.89,7427700.0
M,2007-11-07,30.0,30.84,29.75,29.91,7811400.0
M,2007-11-06,30.72,31.2,30.09,30.51,5616500.0
M,2007-11-05,30.8,32.57,30.39,30.7,6205300.0
M,2007-11-02,31.89,31.95,30.79,31.11,8718600.0
M,2007-11-01,31.55,32.56,31.31,31.54,5562900.0
M,2007-10-31,32.48,32.48,31.29,32.03,4309800.0
M,2007-10-30,33.42,33.49,32.2,32.31,5275100.0
M,2007-10-29,33.07,33.76,32.78,33.42,4170100.0
M,2007-10-26,31.89,33.2,31.68,33.0,5061200.0
M,2007-10-25,32.03,32.75,31.31,32.46,5103500.0
M,2007-10-24,31.32,31.75,30.73,31.5,4917500.0
M,2007-10-23,31.26,31.46,30.36,31.25,4825300.0
M,2007-10-22,29.84,31.55,29.84,30.95,6006800.0
M,2007-10-19,31.3,31.6,29.96,30.24,6034800.0
M,2007-10-18,31.65,31.65,30.42,31.38,5249600.0
M,2007-10-17,31.96,32.35,31.22,31.76,4105800.0
M,2007-10-16,32.23,32.23,30.84,31.66,4954400.0
M,2007-10-15,33.03,33.23,31.95,32.35,5331500.0
M,2007-10-12,34.1,34.25,32.81,33.05,4359800.0
M,2007-10-11,34.0,35.48,33.37,33.84,7208300.0
M,2007-10-10,34.12,34.76,33.62,34.5,3389600.0
M,2007-10-09,34.16,34.29,32.9,34.02,5088300.0
M,2007-10-08,35.05,35.1,33.84,34.12,4133200.0
M,2007-10-05,35.16,35.54,34.35,35.1,6018900.0
M,2007-10-04,34.97,35.48,33.76,33.98,4415700.0
M,2007-10-03,34.39,35.76,34.19,34.57,5910000.0
M,2007-10-02,33.6,34.59,33.4,34.36,5836900.0
M,2007-10-01,32.32,33.6,32.09,33.28,5526500.0
M,2007-09-28,32.12,32.75,32.0,32.32,3760700.0
M,2007-09-27,32.58,32.74,31.86,32.0,4984900.0
M,2007-09-26,31.85,32.68,31.7,32.55,4105300.0
M,2007-09-25,31.93,32.2,31.2,31.91,6225600.0
M,2007-09-24,33.41,33.98,32.44,32.95,5499800.0
M,2007-09-21,32.55,33.4,32.1,33.12,1.02625E7
