Symbol,Date,Open,High,Low,Close,Volume
M,2014-01-17,56.07,56.41,55.73,56.23,4103300.0
M,2014-01-16,55.68,56.1,55.27,56.03,3546000.0
M,2014-01-15,55.7,55.92,55.4175,55.8,2514100.0
M,2014-01-14,55.27,56.14,55.22,55.75,3828200.0
M,2014-01-13,56.11,56.65,55.25,55.26,7292700.0
M,2014-01-10,55.98,56.09,55.26,55.84,6051000.0
M,2014-01-09,55.15,56.25,54.79,55.8,1.47348E7
M,2014-01-08,51.79,52.0,51.36,51.84,6097900.0
M,2014-01-07,53.54,53.54,51.68,52.18,6328700.0
M,2014-01-06,53.77,53.86,53.04,53.15,2887900.0
M,2014-01-03,53.36,54.0,53.32,53.54,2492200.0
M,2014-01-02,53.17,53.91,52.95,53.39,2969600.0
M,2013-12-31,53.63,53.73,53.04,53.4,2546700.0
M,2013-12-30,52.78,53.86,52.78,53.67,3054400.0
M,2013-12-27,53.01,53.14,52.65,52.7,1421900.0
M,2013-12-26,52.84,53.22,52.75,52.83,2280300.0
M,2013-12-24,52.64,53.0,52.31,52.71,1789000.0
M,2013-12-23,52.43,53.24,52.41,52.85,2823200.0
M,2013-12-20,52.39,52.72,52.14,52.27,5740800.0
M,2013-12-19,52.06,52.485,51.8485,52.23,2954400.0
M,2013-12-18,51.67,52.18,51.0,52.14,3471100.0
M,2013-12-17,51.81,51.87,51.29,51.67,3392700.0
M,2013-12-16,51.56,51.9735,51.46,51.61,2743900.0
M,2013-12-13,51.86,52.42,51.3,51.41,4020800.0
M,2013-12-12,52.15,52.24,51.52,51.65,3293800.0
M,2013-12-11,51.79,53.03,51.703,52.08,5502600.0
M,2013-12-10,52.14,52.23,51.46,51.78,3150300.0
M,2013-12-09,51.9,52.5799,51.86,52.19,3852700.0
M,2013-12-06,51.92,52.2,51.14,51.83,4606300.0
M,2013-12-05,52.13,52.15,51.26,51.54,4089500.0
M,2013-12-04,52.6,52.78,51.37,52.04,5641000.0
M,2013-12-03,52.29,52.88,52.21,52.81,4483400.0
M,2013-12-02,52.99,53.46,52.21,52.44,6345500.0
M,2013-11-29,54.07,54.07,53.08,53.26,3532100.0
M,2013-11-27,53.07,53.64,52.91,53.54,5095400.0
