Symbol,Date,Open,High,Low,Close,Volume
M,2024-03-07,20.21,20.46,19.96,20.34,5637474.0
M,2024-03-06,20.29,20.47,19.945,20.02,8010532.0
M,2024-03-05,20.19,20.79,19.81,20.28,9831870.0
M,2024-03-04,20.61,21.23,20.32,20.45,1.8827123E7
M,2024-03-01,17.48,18.035,17.25,18.01,8287697.0
M,2024-02-29,18.36,18.472,17.11,17.44,1.8146649E7
M,2024-02-28,19.6,19.74,18.41,18.41,1.1990736E7
M,2024-02-27,19.2,20.76,19.16,19.95,1.8806716E7
M,2024-02-26,19.4,19.5799,19.21,19.3,1.1898225E7
M,2024-02-23,19.13,19.68,18.98,19.5,1.0288517E7
M,2024-02-22,19.06,19.165,18.93,19.12,7760603.0
M,2024-02-21,19.07,19.17,18.76,18.99,7862047.0
M,2024-02-20,19.18,19.38,19.08,19.26,6644758.0
M,2024-02-16,19.27,19.685,19.25,19.46,3693616.0
M,2024-02-15,19.42,19.81,19.37,19.6,6589852.0
M,2024-02-14,19.17,19.365,18.86,19.27,6930793.0
M,2024-02-13,18.82,19.0599,18.5,18.96,7932451.0
M,2024-02-12,19.16,19.68,19.16,19.58,5064378.0
M,2024-02-09,19.16,19.23,18.89,19.08,4769120.0
M,2024-02-08,18.62,19.305,18.58,19.24,5794549.0
M,2024-02-07,18.64,18.79,18.42,18.54,4145967.0
M,2024-02-06,18.27,18.86,18.19,18.64,6239703.0
M,2024-02-05,18.31,18.49,18.04,18.36,5510835.0
M,2024-02-02,18.6,18.75,18.31,18.63,7366472.0
M,2024-02-01,18.51,18.55,18.04,18.44,4748490.0
M,2024-01-31,18.47,18.78,18.255,18.29,5042348.0
M,2024-01-30,18.45,18.73,18.3,18.63,5587477.0
M,2024-01-29,18.84,18.91,18.41,18.67,9519715.0
M,2024-01-26,18.85,19.1,18.77,18.9,8854587.0
M,2024-01-25,18.795,19.04,18.59,18.82,1.4332846E7
M,2024-01-24,18.35,18.51,18.08,18.14,7379575.0
M,2024-01-23,18.74,18.82,17.79,18.19,1.2181267E7
M,2024-01-22,17.78,18.42,17.675,18.26,1.5770976E7
M,2024-01-19,17.82,17.83,17.135,17.63,1.1893843E7
M,2024-01-18,18.03,18.2,17.45,17.93,7365631.0
M,2024-01-17,17.9,18.02,17.745,17.86,6026148.0
M,2024-01-16,18.22,18.22,17.89,18.17,1.0154136E7
M,2024-01-12,18.82,18.85,18.3,18.54,6952874.0
M,2024-01-11,18.91,18.94,18.46,18.62,1.1764389E7
M,2024-01-10,19.03,19.12,18.72,18.98,4853020.0
M,2024-01-09,19.06,19.22,18.915,19.05,4286422.0
M,2024-01-08,18.89,19.3,18.8,19.11,4589364.0
M,2024-01-05,18.74,19.44,18.6939,18.82,7157717.0
M,2024-01-04,18.88,19.06,18.75,18.78,5399588.0
M,2024-01-03,19.43,19.45,18.56,18.94,1.0594532E7
M,2024-01-02,19.92,20.1999,19.515,19.76,9410012.0
M,2023-12-29,20.2,20.38,20.1,20.12,4921340.0
M,2023-12-28,19.87,20.4,19.86,20.35,5257078.0
M,2023-12-27,20.35,20.38,19.8546,20.1,5523322.0
M,2023-12-26,20.0,20.39,19.9768,20.32,7122161.0
M,2023-12-22,19.84,20.115,19.6501,19.99,5113119.0
