Symbol,Date,Open,High,Low,Close,Volume
M,2005-12-08,67.35,68.11,66.63,67.98,2240800.0
M,2005-12-07,66.5,67.97,66.11,67.71,4083500.0
M,2005-12-06,65.96,66.76,65.64,65.96,2312500.0
M,2005-12-05,66.4,66.48,65.05,65.16,2298400.0
M,2005-12-02,65.9,67.75,65.9,66.65,3291600.0
M,2005-12-01,65.0,66.85,64.51,66.55,3284400.0
M,2005-11-30,64.81,65.25,63.99,64.43,2031100.0
M,2005-11-29,65.15,65.76,64.19,64.87,2307200.0
M,2005-11-28,66.35,66.35,64.2,64.58,3493800.0
M,2005-11-25,67.9,67.96,66.61,67.07,1146600.0
M,2005-11-23,66.3,68.38,66.27,68.11,2358700.0
M,2005-11-22,67.0,67.04,65.73,65.97,3636800.0
M,2005-11-21,69.31,69.33,67.33,67.71,2860700.0
M,2005-11-18,68.85,69.59,68.25,69.53,1906200.0
M,2005-11-17,66.91,68.74,66.91,68.61,2120700.0
M,2005-11-16,66.96,67.48,65.6,66.98,2140700.0
M,2005-11-15,67.75,67.78,66.2,66.71,2148900.0
M,2005-11-14,68.45,69.57,68.2,68.62,1794300.0
M,2005-11-11,69.4,70.08,68.25,68.82,1535000.0
M,2005-11-10,68.25,69.97,67.6,69.58,3355500.0
M,2005-11-09,65.45,69.26,65.35,68.85,6033400.0
M,2005-11-08,64.7,64.74,63.67,63.91,2227900.0
M,2005-11-07,64.43,65.53,64.0,65.0,3094400.0
M,2005-11-04,64.34,64.62,63.21,64.14,2046200.0
M,2005-11-03,63.7,64.75,63.18,64.51,4454200.0
M,2005-11-02,60.8,62.7,60.1,62.7,2401500.0
M,2005-11-01,60.9,61.05,60.22,60.74,2557600.0
M,2005-10-31,59.8,62.29,59.8,61.37,4393500.0
M,2005-10-28,57.9,59.51,57.56,59.51,3947600.0
M,2005-10-27,60.45,60.67,57.96,58.01,2343700.0
M,2005-10-26,61.45,62.09,60.43,60.43,1834600.0
M,2005-10-25,61.3,61.8,60.54,61.63,2676200.0
M,2005-10-24,61.05,61.47,60.15,61.25,2821500.0
M,2005-10-21,61.4,61.98,60.73,61.01,2102000.0
M,2005-10-20,62.97,63.63,61.47,61.55,2147200.0
M,2005-10-19,61.32,62.98,60.7,62.78,2862800.0
M,2005-10-18,62.65,62.9,61.4,61.73,1712100.0
M,2005-10-17,63.95,63.97,62.18,62.64,2396500.0
M,2005-10-14,63.42,64.77,62.51,64.05,1956400.0
M,2005-10-13,62.15,63.29,61.99,63.2,2259200.0
M,2005-10-12,63.75,63.81,61.55,62.27,3639500.0
M,2005-10-11,63.84,64.73,63.71,64.02,2090900.0
M,2005-10-10,64.81,65.07,63.08,63.76,2241400.0
M,2005-10-07,65.38,65.93,64.77,65.0,2487800.0
M,2005-10-06,61.49,66.3,61.49,65.0,6267600.0
M,2005-10-05,64.6,64.8,63.46,63.61,2564400.0
M,2005-10-04,65.69,65.85,64.33,64.33,2815300.0
M,2005-10-03,66.45,66.89,65.31,65.44,2989600.0
M,2005-09-30,67.07,67.28,66.55,66.87,1960400.0
M,2005-09-29,66.85,67.43,65.97,67.07,2178700.0
M,2005-09-28,67.15,67.96,65.84,66.95,2923600.0
M,2005-09-27,66.09,67.55,65.74,67.13,3144500.0
M,2005-09-26,67.0,68.5,65.46,65.93,3397700.0
M,2005-09-23,65.72,67.5,65.33,66.19,3420000.0
M,2005-09-22,63.45,66.7,63.16,66.4,4039200.0
