Symbol,Date,Open,High,Low,Close,Volume
M,2003-12-01,49.08,50.0,48.55,49.35,1886600.0
M,2003-11-28,49.17,49.42,49.08,49.09,397900.0
M,2003-11-26,49.25,49.36,48.53,49.11,1624300.0
M,2003-11-25,49.6,50.14,49.47,49.51,1823500.0
M,2003-11-24,48.94,49.81,48.92,49.74,2073400.0
M,2003-11-21,48.8,49.83,48.7,48.95,1694900.0
M,2003-11-20,48.5,49.37,48.36,48.62,1534800.0
M,2003-11-19,48.18,49.015,48.06,48.93,1579800.0
M,2003-11-18,48.14,48.97,48.01,48.02,1655000.0
M,2003-11-17,48.5,48.73,47.415,48.08,1448600.0
M,2003-11-14,49.24,50.0,48.5,48.86,1469100.0
M,2003-11-13,49.65,49.78,48.88,49.2,2277200.0
M,2003-11-12,50.17,50.17,49.21,49.65,2456400.0
M,2003-11-11,48.9,50.6,48.9,50.17,2822900.0
M,2003-11-10,48.62,48.82,48.22,48.5,1115800.0
M,2003-11-07,48.26,49.14,48.26,48.62,1339800.0
M,2003-11-06,47.05,48.9,46.79,48.26,2989800.0
M,2003-11-05,47.31,47.32,46.47,47.05,1055200.0
M,2003-11-04,47.87,47.87,47.17,47.31,860700.0
M,2003-11-03,47.52,48.47,47.52,47.87,1067400.0
M,2003-10-31,46.96,47.93,46.96,47.55,1341600.0
M,2003-10-30,47.4,47.9,46.34,46.96,1983900.0
M,2003-10-29,47.55,47.77,46.97,47.4,1686800.0
M,2003-10-28,46.5,47.74,46.5,47.74,2020600.0
M,2003-10-27,46.0,46.6,45.91,46.5,1176400.0
M,2003-10-24,46.35,46.36,44.81,45.92,1724800.0
M,2003-10-23,45.55,46.65,45.35,46.5,1548900.0
M,2003-10-22,46.2,46.2,45.29,45.55,1625400.0
M,2003-10-21,46.33,46.49,46.04,46.2,1358600.0
M,2003-10-20,46.41,46.41,45.94,46.33,1649700.0
M,2003-10-17,47.44,47.81,46.38,46.41,2379900.0
M,2003-10-16,47.1,47.59,46.75,46.98,1821900.0
M,2003-10-15,47.0,47.45,46.65,47.29,1507800.0
M,2003-10-14,46.6,47.0,46.46,46.95,1524400.0
M,2003-10-13,45.8,46.78,45.79,46.4,1394100.0
M,2003-10-10,45.47,45.78,45.4,45.58,1481100.0
M,2003-10-09,44.4,45.94,44.4,45.6,3257500.0
M,2003-10-08,44.65,44.69,44.26,44.4,1215400.0
M,2003-10-07,43.39,44.66,42.95,44.64,1750500.0
M,2003-10-06,43.25,43.51,43.1,43.39,1093400.0
M,2003-10-03,42.8,44.14,42.8,43.36,1562600.0
M,2003-10-02,42.73,43.0,42.37,42.8,1017900.0
M,2003-10-01,41.9,42.73,41.89,42.73,2488000.0
M,2003-09-30,41.9,42.17,41.0,41.9,2439500.0
M,2003-09-29,41.82,42.18,41.24,41.9,1518000.0
M,2003-09-26,42.7,42.8,41.8,41.81,2196000.0
M,2003-09-25,42.9,43.01,42.6,42.68,2096500.0
M,2003-09-24,43.61,43.7,42.73,42.73,2272700.0
M,2003-09-23,43.56,43.9,43.4,43.61,1868700.0
M,2003-09-22,44.1,44.15,43.4,43.68,1429800.0
M,2003-09-19,44.54,44.67,44.38,44.57,2398500.0
M,2003-09-18,43.78,44.55,43.45,44.53,1966200.0
M,2003-09-17,43.08,43.98,42.93,43.78,1431000.0
M,2003-09-16,42.87,43.2,42.37,43.08,914300.0
M,2003-09-15,42.69,43.02,42.47,42.83,1020500.0
M,2003-09-12,42.56,42.8,41.55,42.79,1421500.0
M,2003-09-11,42.2,43.25,42.2,42.71,1430200.0
M,2003-09-10,42.39,42.98,42.13,42.23,2672200.0
M,2003-09-09,43.82,43.82,42.27,42.44,2631900.0
M,2003-09-08,43.75,43.93,43.45,43.82,1892700.0
M,2003-09-05,44.36,44.38,43.3,43.93,1765800.0
M,2003-09-04,44.17,44.57,43.64,44.36,2757500.0
M,2003-09-03,44.3,45.38,44.3,44.51,3331400.0
M,2003-09-02,43.85,44.44,43.76,44.44,3407900.0
M,2003-08-29,43.5,43.95,43.45,43.7,1361600.0
M,2003-08-28,42.9,43.915,42.87,43.85,2040400.0
M,2003-08-27,42.4,42.98,42.39,42.7,1336600.0
M,2003-08-26,42.28,42.85,41.9,42.51,1440600.0
M,2003-08-25,42.15,42.77,42.15,42.43,2407300.0
M,2003-08-22,43.16,43.35,42.21,42.31,2333000.0
M,2003-08-21,42.9,43.28,42.7,43.17,1848100.0
M,2003-08-20,42.9,43.35,42.76,42.9,1378900.0
M,2003-08-19,43.0,43.15,42.54,43.1,2019000.0
M,2003-08-18,42.1,42.75,42.1,42.71,2224500.0
M,2003-08-15,42.51,42.85,42.27,42.4,1031400.0
M,2003-08-14,42.25,43.37,42.01,42.64,2527000.0
M,2003-08-13,41.87,42.83,41.87,42.24,2479000.0
M,2003-08-12,41.45,42.66,41.45,42.61,2045500.0
M,2003-08-11,41.38,41.93,40.7,41.44,2178400.0
M,2003-08-08,40.65,41.47,40.65,41.47,2012300.0
M,2003-08-07,40.25,40.73,39.7,40.59,3445700.0
M,2003-08-06,39.0,39.24,38.59,38.85,2059300.0
M,2003-08-05,39.35,39.5,38.5,38.55,1759000.0
M,2003-08-04,40.12,40.25,38.85,39.55,2056500.0
M,2003-08-01,40.0,40.35,39.78,40.1,1439200.0
