AXISBANK.BSE,2024-03-05,1103.3,1110.65,1094.55,1100.7,83016
AXISBANK.BSE,2024-03-04,1096.35,1109.2,1093.5,1106.5,406572
AXISBANK.BSE,2024-03-01,1074.05,1101.6,1074.05,1099.35,431695
AXISBANK.BSE,2024-02-29,1066.25,1081.6,1055.35,1075.7,3834648
AXISBANK.BSE,2024-02-28,1080.85,1084.8,1064.05,1074.65,189315
AXISBANK.BSE,2024-02-27,1078.2,1088.0,1072.05,1079.45,112631
AXISBANK.BSE,2024-02-26,1093.0,1093.0,1079.85,1085.4,216019
AXISBANK.BSE,2024-02-23,1099.0,1107.55,1089.85,1097.5,519051
AXISBANK.BSE,2024-02-22,1086.75,1110.85,1081.55,1100.65,185525
AXISBANK.BSE,2024-02-21,1093.0,1093.0,1073.2,1084.15,75981
AXISBANK.BSE,2024-02-20,1055.6,1090.0,1055.6,1088.3,187751
AXISBANK.BSE,2024-02-19,1071.35,1071.35,1060.25,1063.6,147972
AXISBANK.BSE,2024-02-16,1072.0,1076.15,1058.0,1069.25,793991
AXISBANK.BSE,2024-02-15,1099.85,1099.85,1068.95,1072.6,1222904
AXISBANK.BSE,2024-02-14,1059.15,1100.0,1059.15,1095.75,241626
AXISBANK.BSE,2024-02-13,1052.2,1075.0,1045.0,1070.9,138794
AXISBANK.BSE,2024-02-12,1054.8,1057.45,1035.45,1046.85,156225
AXISBANK.BSE,2024-02-09,1040.55,1054.95,1034.8,1051.05,740967
AXISBANK.BSE,2024-02-08,1094.95,1094.95,1032.0,1036.65,106895
AXISBANK.BSE,2024-02-07,1055.95,1073.35,1055.95,1069.0,113342
AXISBANK.BSE,2024-02-06,1058.65,1065.0,1048.2,1050.45,92542
AXISBANK.BSE,2024-02-05,1065.3,1079.1,1055.0,1062.55,275282
AXISBANK.BSE,2024-02-02,1085.3,1096.3,1065.0,1068.75,530396
AXISBANK.BSE,2024-02-01,1070.0,1087.95,1057.35,1084.15,71290
AXISBANK.BSE,2024-01-31,1049.9,1083.85,1043.0,1067.45,178705
