Symbol,Date,Open,High,Low,Close,Volume
TVSMOTOR.BSE,2016-03-16,282.55,287.55,282.55,283.9,46376.0
TVSMOTOR.BSE,2016-03-15,289.95,290.5,284.5,285.95,120996.0
TVSMOTOR.BSE,2016-03-14,290.0,292.6,286.8,288.65,93362.0
TVSMOTOR.BSE,2016-03-11,284.0,289.3,282.25,288.0,174972.0
TVSMOTOR.BSE,2016-03-10,287.3,287.6,282.0,283.5,76953.0
TVSMOTOR.BSE,2016-03-09,281.0,285.9,280.0,284.6,129127.0
TVSMOTOR.BSE,2016-03-08,288.2,288.2,280.5,282.85,75189.0
TVSMOTOR.BSE,2016-03-04,289.0,294.9,284.1,288.2,155331.0
TVSMOTOR.BSE,2016-03-03,289.5,290.35,285.6,286.95,104031.0
TVSMOTOR.BSE,2016-03-02,288.0,293.9,285.0,287.6,185022.0
TVSMOTOR.BSE,2016-03-01,269.5,285.4,266.5,283.7,206786.0
TVSMOTOR.BSE,2016-02-29,263.5,270.0,256.3,267.7,165201.0
TVSMOTOR.BSE,2016-02-26,270.25,270.35,260.8,264.55,71322.0
TVSMOTOR.BSE,2016-02-25,271.9,272.0,262.5,267.6,133158.0
TVSMOTOR.BSE,2016-02-24,278.5,278.65,268.5,270.35,151349.0
TVSMOTOR.BSE,2016-02-23,288.0,288.3,277.6,280.3,62338.0
TVSMOTOR.BSE,2016-02-22,289.1,291.7,285.0,286.7,83010.0
TVSMOTOR.BSE,2016-02-19,284.6,289.5,282.6,287.45,146495.0
TVSMOTOR.BSE,2016-02-18,284.0,289.0,281.65,284.9,84270.0
TVSMOTOR.BSE,2016-02-17,279.65,284.0,271.8,281.9,90674.0
TVSMOTOR.BSE,2016-02-16,284.1,288.0,275.2,276.7,101817.0
TVSMOTOR.BSE,2016-02-15,278.55,289.0,278.55,285.05,129591.0
TVSMOTOR.BSE,2016-02-12,277.5,283.6,269.7,276.15,175353.0
TVSMOTOR.BSE,2016-02-11,285.5,288.15,274.35,277.95,154586.0
TVSMOTOR.BSE,2016-02-10,285.0,289.0,280.2,286.4,93917.0
TVSMOTOR.BSE,2016-02-09,280.0,288.25,278.2,285.75,115949.0
TVSMOTOR.BSE,2016-02-08,288.0,294.85,284.2,287.05,107877.0
TVSMOTOR.BSE,2016-02-05,280.8,292.0,278.5,288.4,146227.0
TVSMOTOR.BSE,2016-02-04,290.0,290.0,276.25,281.35,150245.0
TVSMOTOR.BSE,2016-02-03,292.9,294.15,284.75,287.45,109940.0
TVSMOTOR.BSE,2016-02-02,299.0,300.5,290.0,293.1,178346.0
TVSMOTOR.BSE,2016-02-01,292.1,302.6,291.15,295.35,210828.0
TVSMOTOR.BSE,2016-01-29,293.4,295.0,279.6,291.5,609560.0
TVSMOTOR.BSE,2016-01-28,291.0,296.3,290.0,291.65,140510.0
TVSMOTOR.BSE,2016-01-27,289.6,292.95,287.4,289.85,89328.0
TVSMOTOR.BSE,2016-01-25,288.0,292.65,287.0,288.0,106320.0
TVSMOTOR.BSE,2016-01-22,275.0,286.65,274.6,285.05,162463.0
TVSMOTOR.BSE,2016-01-21,279.1,280.55,268.1,274.2,142215.0
TVSMOTOR.BSE,2016-01-20,280.0,280.0,265.95,274.1,206813.0
TVSMOTOR.BSE,2016-01-19,276.0,283.9,268.05,282.55,143418.0
TVSMOTOR.BSE,2016-01-18,273.5,280.0,263.1,274.0,198015.0
TVSMOTOR.BSE,2016-01-15,283.85,285.55,273.55,277.65,115588.0
TVSMOTOR.BSE,2016-01-14,281.6,284.4,276.4,281.4,109493.0
TVSMOTOR.BSE,2016-01-13,293.45,294.3,273.35,288.1,507031.0
TVSMOTOR.BSE,2016-01-12,286.0,292.5,285.0,289.7,164889.0
TVSMOTOR.BSE,2016-01-11,283.0,289.15,278.9,285.85,115444.0
TVSMOTOR.BSE,2016-01-08,277.95,287.15,277.95,284.6,98716.0
TVSMOTOR.BSE,2016-01-07,284.8,284.8,275.2,277.6,85090.0
TVSMOTOR.BSE,2016-01-06,289.5,294.0,284.9,286.55,658899.0
TVSMOTOR.BSE,2016-01-05,286.5,289.15,282.45,286.95,111747.0
TVSMOTOR.BSE,2016-01-04,288.25,290.85,283.9,286.45,147002.0
TVSMOTOR.BSE,2016-01-01,289.1,292.15,285.6,287.1,98630.0
TVSMOTOR.BSE,2015-12-31,290.9,292.85,288.35,289.65,60694.0
TVSMOTOR.BSE,2015-12-30,293.9,294.45,289.6,290.2,88432.0
TVSMOTOR.BSE,2015-12-29,286.9,295.95,285.95,293.3,146229.0
TVSMOTOR.BSE,2015-12-28,284.2,288.0,283.0,285.5,414399.0
TVSMOTOR.BSE,2015-12-24,291.5,291.7,284.2,285.0,74765.0
TVSMOTOR.BSE,2015-12-23,289.75,293.5,288.85,290.1,66091.0
TVSMOTOR.BSE,2015-12-22,289.05,291.9,287.25,288.05,101620.0
TVSMOTOR.BSE,2015-12-21,287.0,291.4,287.0,289.05,86797.0
TVSMOTOR.BSE,2015-12-18,285.45,287.65,284.35,286.1,81378.0
TVSMOTOR.BSE,2015-12-17,283.6,288.8,281.0,287.3,132611.0
TVSMOTOR.BSE,2015-12-16,287.0,287.0,280.7,281.75,134034.0
TVSMOTOR.BSE,2015-12-15,277.6,286.0,273.95,285.05,400078.0
TVSMOTOR.BSE,2015-12-14,272.0,278.75,271.0,275.05,124151.0
TVSMOTOR.BSE,2015-12-11,278.6,281.15,272.1,274.05,141192.0
TVSMOTOR.BSE,2015-12-10,274.05,279.5,268.2,278.55,160981.0
TVSMOTOR.BSE,2015-12-09,273.8,276.0,267.5,270.4,136578.0
TVSMOTOR.BSE,2015-12-08,280.2,283.4,272.9,275.15,130213.0
TVSMOTOR.BSE,2015-12-07,287.1,287.9,280.2,281.8,126186.0
TVSMOTOR.BSE,2015-12-04,280.0,286.35,279.0,283.75,147181.0
TVSMOTOR.BSE,2015-12-03,287.0,287.4,280.05,283.3,269824.0
TVSMOTOR.BSE,2015-12-02,299.8,299.8,285.75,289.2,433234.0
