Symbol,Date,Open,High,Low,Close,Volume
TVSMOTOR.BSE,2008-03-05,43.0,43.4,41.9,42.15,627566.0
TVSMOTOR.BSE,2008-03-04,42.5,43.55,40.55,42.7,1242868.0
TVSMOTOR.BSE,2008-03-03,43.05,45.65,42.1,42.65,2243064.0
TVSMOTOR.BSE,2008-02-29,43.55,44.9,42.1,43.7,2198034.0
TVSMOTOR.BSE,2008-02-28,42.9,44.0,42.1,43.55,2414882.0
TVSMOTOR.BSE,2008-02-27,43.0,43.9,42.1,42.4,1488788.0
TVSMOTOR.BSE,2008-02-26,42.0,43.1,42.0,42.5,1550446.0
TVSMOTOR.BSE,2008-02-25,39.9,42.35,39.55,41.25,4170116.0
TVSMOTOR.BSE,2008-02-22,38.5,39.9,38.5,39.5,652762.0
TVSMOTOR.BSE,2008-02-21,38.5,40.0,38.0,39.85,1062332.0
TVSMOTOR.BSE,2008-02-20,38.85,39.3,38.0,38.1,396144.0
TVSMOTOR.BSE,2008-02-19,39.5,41.0,38.75,39.0,906364.0
TVSMOTOR.BSE,2008-02-18,40.0,40.0,38.1,38.7,767814.0
TVSMOTOR.BSE,2008-02-15,38.1,40.5,38.1,40.0,716006.0
TVSMOTOR.BSE,2008-02-14,39.0,39.95,38.4,39.5,599562.0
TVSMOTOR.BSE,2008-02-13,37.1,38.2,36.5,37.5,684268.0
TVSMOTOR.BSE,2008-02-12,38.9,38.9,35.9,36.6,602748.0
TVSMOTOR.BSE,2008-02-11,40.2,40.2,36.8,37.4,623544.0
TVSMOTOR.BSE,2008-02-08,39.0,40.85,38.9,39.5,686656.0
TVSMOTOR.BSE,2008-02-07,40.95,42.5,40.0,40.2,2452956.0
TVSMOTOR.BSE,2008-02-06,40.8,41.75,38.5,40.65,2461436.0
TVSMOTOR.BSE,2008-02-05,40.5,41.25,40.5,40.65,1296738.0
TVSMOTOR.BSE,2008-02-04,41.0,42.0,40.55,40.75,1454056.0
TVSMOTOR.BSE,2008-02-01,40.65,41.5,39.75,40.15,2200230.0
TVSMOTOR.BSE,2008-01-31,42.0,42.7,39.5,40.4,995160.0
TVSMOTOR.BSE,2008-01-30,43.85,44.1,41.0,41.5,1094184.0
TVSMOTOR.BSE,2008-01-29,45.1,45.5,43.2,43.7,874610.0
TVSMOTOR.BSE,2008-01-28,42.5,44.25,41.1,43.9,876094.0
TVSMOTOR.BSE,2008-01-25,46.65,47.45,43.7,44.65,2123180.0
TVSMOTOR.BSE,2008-01-24,49.9,50.7,42.0,43.6,1423520.0
TVSMOTOR.BSE,2008-01-23,48.0,50.8,44.1,47.05,1483378.0
TVSMOTOR.BSE,2008-01-22,45.0,48.5,33.35,44.0,2299732.0
TVSMOTOR.BSE,2008-01-21,59.0,59.0,44.0,48.9,1319750.0
TVSMOTOR.BSE,2008-01-18,64.0,66.25,59.5,60.85,996046.0
TVSMOTOR.BSE,2008-01-17,64.4,66.8,63.5,64.9,752310.0
TVSMOTOR.BSE,2008-01-16,65.4,65.4,62.55,63.85,589102.0
TVSMOTOR.BSE,2008-01-15,67.9,68.4,65.05,65.4,627394.0
TVSMOTOR.BSE,2008-01-14,66.8,68.0,65.85,67.35,962582.0
TVSMOTOR.BSE,2008-01-11,67.25,67.45,64.3,66.05,1068334.0
TVSMOTOR.BSE,2008-01-10,72.4,72.55,65.7,66.45,1402500.0
TVSMOTOR.BSE,2008-01-09,71.25,74.0,70.7,71.25,2313966.0
TVSMOTOR.BSE,2008-01-08,78.2,78.9,71.2,72.45,4167076.0
TVSMOTOR.BSE,2008-01-07,71.1,78.15,70.1,77.35,8593334.0
TVSMOTOR.BSE,2008-01-04,71.5,72.3,70.1,70.75,1365924.0
TVSMOTOR.BSE,2008-01-03,71.5,73.4,71.0,71.15,1499992.0
TVSMOTOR.BSE,2008-01-02,73.7,73.7,71.25,71.9,1259642.0
TVSMOTOR.BSE,2008-01-01,72.65,72.65,72.65,72.65,1579370.0
TVSMOTOR.BSE,2007-12-31,73.25,73.85,71.6,72.45,1157136.0
TVSMOTOR.BSE,2007-12-28,71.0,72.3,70.0,71.5,803494.0
TVSMOTOR.BSE,2007-12-27,73.45,73.45,70.0,70.4,911104.0
TVSMOTOR.BSE,2007-12-26,72.75,72.75,71.25,71.7,556044.0
TVSMOTOR.BSE,2007-12-24,74.0,74.5,70.55,71.1,658438.0
TVSMOTOR.BSE,2007-12-20,73.4,73.45,68.0,69.75,1510798.0
TVSMOTOR.BSE,2007-12-19,73.45,76.35,71.0,73.0,2511366.0
TVSMOTOR.BSE,2007-12-18,72.0,73.0,68.7,71.8,1529300.0
TVSMOTOR.BSE,2007-12-17,78.0,78.7,68.7,70.65,3602992.0
TVSMOTOR.BSE,2007-12-14,71.0,78.6,70.3,77.4,6466248.0
TVSMOTOR.BSE,2007-12-13,72.4,73.0,69.5,70.1,1592744.0
TVSMOTOR.BSE,2007-12-12,67.35,72.0,67.35,70.65,1461038.0
TVSMOTOR.BSE,2007-12-11,69.75,71.5,68.6,69.2,1167504.0
TVSMOTOR.BSE,2007-12-10,69.8,70.5,67.35,69.0,702998.0
TVSMOTOR.BSE,2007-12-07,71.0,71.8,66.6,68.05,799030.0
TVSMOTOR.BSE,2007-12-06,68.0,73.0,68.0,69.45,2499624.0
TVSMOTOR.BSE,2007-12-05,68.0,69.9,67.15,68.15,1362498.0
TVSMOTOR.BSE,2007-12-04,67.0,68.0,66.0,67.05,991914.0
TVSMOTOR.BSE,2007-12-03,64.0,68.5,64.0,66.3,892886.0
TVSMOTOR.BSE,2007-11-30,63.6,66.6,63.15,64.85,840062.0
TVSMOTOR.BSE,2007-11-29,67.3,67.3,62.1,63.1,734414.0
TVSMOTOR.BSE,2007-11-28,71.8,71.85,64.0,64.8,1705536.0
TVSMOTOR.BSE,2007-11-27,62.0,71.5,61.55,70.15,2535900.0
