Symbol,Date,Open,High,Low,Close,Volume
TVSMOTOR.BSE,2011-05-25,51.5,51.5,50.1,50.6,186637.0
TVSMOTOR.BSE,2011-05-24,52.25,52.6,50.25,51.45,198705.0
TVSMOTOR.BSE,2011-05-23,53.25,53.25,51.9,52.05,115392.0
TVSMOTOR.BSE,2011-05-20,52.75,54.2,52.75,53.5,200059.0
TVSMOTOR.BSE,2011-05-19,52.65,52.95,51.65,52.45,158228.0
TVSMOTOR.BSE,2011-05-18,53.85,54.1,51.85,52.3,248542.0
TVSMOTOR.BSE,2011-05-17,54.05,54.35,52.9,53.85,201687.0
TVSMOTOR.BSE,2011-05-16,53.45,54.6,52.55,54.1,231813.0
TVSMOTOR.BSE,2011-05-13,52.85,55.15,52.8,54.15,337353.0
TVSMOTOR.BSE,2011-05-12,53.6,54.5,52.6,52.85,226854.0
TVSMOTOR.BSE,2011-05-11,53.0,54.15,53.0,53.75,222776.0
TVSMOTOR.BSE,2011-05-10,53.9,54.9,52.9,53.5,229203.0
TVSMOTOR.BSE,2011-05-09,56.15,56.15,53.9,54.2,294869.0
TVSMOTOR.BSE,2011-05-06,52.0,55.6,51.3,55.05,1114207.0
TVSMOTOR.BSE,2011-05-05,53.3,54.4,50.75,51.45,1160669.0
TVSMOTOR.BSE,2011-05-04,55.3,55.5,51.7,53.3,1767014.0
TVSMOTOR.BSE,2011-05-03,56.5,56.55,54.5,55.4,531251.0
TVSMOTOR.BSE,2011-05-02,57.5,57.9,55.6,56.45,847676.0
TVSMOTOR.BSE,2011-04-29,60.4,62.0,54.7,56.35,5494080.0
TVSMOTOR.BSE,2011-04-28,60.5,60.75,59.5,59.75,246790.0
TVSMOTOR.BSE,2011-04-27,61.5,61.75,59.8,60.15,460886.0
TVSMOTOR.BSE,2011-04-26,59.0,61.65,58.75,61.05,771388.0
TVSMOTOR.BSE,2011-04-25,59.3,59.5,58.1,58.6,225675.0
TVSMOTOR.BSE,2011-04-21,60.3,60.9,58.8,59.25,279045.0
TVSMOTOR.BSE,2011-04-20,60.5,60.75,59.3,60.1,1162707.0
TVSMOTOR.BSE,2011-04-19,57.7,59.5,57.6,59.15,226457.0
